date,revenue,type,subtype
2019-01-01,-193686.18,Volume Discount,Business
2019-01-01,-782388.15,Volume Discount,Personal
2019-02-01,9670529.57,Net Toll Revenue,NA
2019-02-01,-147918.2,Volume Discount,Business
2019-02-01,-659705.8500000001,Volume Discount,Personal
2019-03-01,11232064.239999998,Net Toll Revenue,NA
2019-03-01,-187610.27000000002,Volume Discount,Business
2019-03-01,-850515.54,Volume Discount,Personal
2019-04-01,11715630.34,Net Toll Revenue,NA
2019-04-01,-198136.74000000002,Volume Discount,Business
2019-04-01,-837026.75,Volume Discount,Personal
2019-05-01,13381318.47,Net Toll Revenue,NA
2019-05-01,-208054.07,Volume Discount,Business
2019-05-01,-914480.69,Volume Discount,Personal
2019-06-01,13896710.94,Net Toll Revenue,NA
2019-06-01,-183933.26,Volume Discount,Business
2019-06-01,-832545.8400000001,Volume Discount,Personal
2019-07-01,15960803.719999999,Net Toll Revenue,NA
2019-07-01,-198702.68,Volume Discount,Business
2019-07-01,-851322.9600000001,Volume Discount,Personal
2019-08-01,16576468.47,Net Toll Revenue,NA
2019-08-01,-206363.25,Volume Discount,Business
2019-08-01,-891185.38,Volume Discount,Personal
2019-09-01,13478204.1,Net Toll Revenue,NA
2019-09-01,-183473.87999999998,Volume Discount,Business
2019-09-01,-820661.24,Volume Discount,Personal
2019-10-01,13571259.62,Net Toll Revenue,NA
2019-10-01,-207982.05,Volume Discount,Business
2019-10-01,-948880.56,Volume Discount,Personal
2019-11-01,11429247.46,Net Toll Revenue,NA
2019-11-01,-174130.91999999998,Volume Discount,Business
2019-11-01,-771439.64,Volume Discount,Personal
2019-12-01,10927923.26,Net Toll Revenue,NA
2019-12-01,-161267.15,Volume Discount,Business
2019-12-01,-723358.47,Volume Discount,Personal
2020-01-01,10744389.05,Net Toll Revenue,NA
2020-01-01,-199160.43,Volume Discount,Business
2020-01-01,-823417.11,Volume Discount,Personal
2020-02-01,10204812.05,Net Toll Revenue,NA
2020-02-01,-138575.19,Volume Discount,Business
2020-02-01,-689592.9600000001,Volume Discount,Personal
