date,transactions,vehicle
2018-11-01,5966282,Passenger
2018-11-01,628357,Commercial
2018-11-01,27599,Non Revenue
2018-12-01,6054311,Passenger
2018-12-01,615441,Commercial
2018-12-01,25207,Non Revenue
2019-01-01,5423195,Passenger
2019-01-01,625879,Commercial
2019-01-01,36989,Non Revenue
2019-02-01,5187379,Passenger
2019-02-01,552493,Commercial
2019-02-01,30882,Non Revenue
2019-03-01,6056375,Passenger
2019-03-01,633777,Commercial
2019-03-01,29254,Non Revenue
2019-04-01,6146328,Passenger
2019-04-01,688583,Commercial
2019-04-01,25569,Non Revenue
2019-05-01,7112272,Passenger
2019-05-01,742735,Commercial
2019-05-01,25402,Non Revenue
2019-06-01,7492435,Passenger
2019-06-01,708401,Commercial
2019-06-01,22952,Non Revenue
2019-07-01,8713744,Passenger
2019-07-01,753506,Commercial
2019-07-01,22654,Non Revenue
2019-08-01,9027855,Passenger
2019-08-01,762663,Commercial
2019-08-01,22710,Non Revenue
2019-09-01,7311971,Passenger
2019-09-01,697269,Commercial
2019-09-01,22667,Non Revenue
2019-10-01,7272410,Passenger
2019-10-01,756442,Commercial
2019-10-01,23663,Non Revenue
2019-11-01,6139788,Passenger
2019-11-01,645083,Commercial
2019-11-01,21866,Non Revenue
2019-12-01,5898118,Passenger
2019-12-01,612115,Commercial
2019-12-01,35406,Non Revenue
2020-01-01,6371702,NA
2020-02-01,6045846,NA
